2.9,30.91,11.71,T2
1.88,33.37,7.86,T3
8.41,77.53,33.81,T1
8.22,61.01,30.53,T3
5.44,0.31,10.18,T1
6.84,3.75,30.14,T1
2.07,30.63,33.83,T2
0.87,61.79,34.26,T1
7.56,70.36,19.68,T1
8.35,60.26,8.01,T2
9.46,93.61,18.58,T3
0.53,57.76,32.91,T3
6.29,37.53,19.86,T1
2.34,45.91,11.09,T3
1.59,98.24,36.05,T3
5.67,87.16,5.07,T2
7.22,93.07,21.25,T2
3.78,84.21,32.82,T1
2.92,47.86,30.17,T1
6.13,58.89,25.69,T2
6.15,73.81,30.49,T2
2.38,33.47,11.38,T1
0.53,98.48,35.13,T3
1.3,64.76,40.74,T3
4.92,5.58,18.85,T2
9.52,37.98,32.82,T2
9.48,97.55,46.78,T3
8.37,91.59,12.55,T1
9.17,23.56,23.59,T3
6.91,3.5,40.66,T3
7.96,20.17,13.95,T2
2.29,63.37,19.97,T2
3.45,71.4,1.87,T1
3.05,97.35,25.17,T1
4.25,31.76,48.23,T2
7.85,56.88,40.27,T2
1.75,67.24,25.1,T3
7.69,39.38,18.23,T1
5.69,59.62,42.26,T1
9.38,95.52,44.49,T1
0.47,57.3,18.68,T1
7.44,92.76,0.71,T2
6.48,30.91,0.63,T1
5.31,0.09,37.39,T3
1.64,14.7,28.05,T3
7.72,50.65,44.47,T1
0.97,85.08,40.58,T1
3.58,63.7,37.75,T3
0.89,72.32,9.94,T3
8.16,59.3,22.29,T1
8.3,67.74,48.84,T1
8.31,44.91,25.18,T1
6.31,60.37,22.3,T2
4.82,14.13,0.34,T3
5.58,48.02,24.65,T2
6.7,87.13,49.89,T2
3.7,76.24,18.19,T1
0.89,61.71,38.54,T3
4.06,14.95,22.02,T2
0.89,42.11,40.89,T3
8.76,8.87,1.9,T3
7.6,91.34,18.52,T1
8.1,25.11,20.93,T2
8.71,43.26,22.22,T2
3.49,28.78,35.69,T2
3.36,94.04,48.76,T2
7.65,66.67,3.09,T3
5.85,68.3,2.71,T2
5.95,18.17,41.04,T1
8.01,52.38,9.87,T2
5.89,83.84,20.79,T2
0.76,32.7,1.22,T1
1.52,45.39,31.96,T2
7.15,62.18,45.97,T2
7.8,27.22,13.55,T1
7.69,61.55,37.27,T1
6.57,32.54,1.37,T2
1.3,80.91,42.16,T1
1.91,91.84,23.95,T1
1.19,5.36,43.42,T2
3.24,2.9,3.43,T1
0.72,76.17,3.84,T1
9.99,25.32,12.54,T3
6.57,9.51,23.55,T2
6.71,92.86,39.99,T3
1.76,5.82,41.69,T3
6.71,87.97,46.03,T2
6.84,7.61,24.43,T1
0.61,81.05,13.52,T3
7.71,39.03,35.82,T2
3.61,23.94,19.79,T2
5.86,15.73,14.58,T1
7.49,59.38,5.74,T1
7.16,16.06,39.28,T1
2.25,4.59,31.78,T2
4.94,23.79,2.88,T2
2.26,70.8,15.78,T3
6.49,27.68,7.12,T3
3.93,40.38,40.26,T3
3.08,54.2,23.07,T3
5.89,7.09,34.63,T3
9.72,60.08,9.25,T1
4.72,66.69,8.97,T2
8.44,50.71,33.63,T2
2.43,38.1,21.97,T2
1.46,98.8,17.6,T2
5.97,66.02,7.91,T2
3.2,75.16,32.31,T3
7.24,32.32,24.46,T1
5.48,92.11,20.59,T2
8.57,5.15,39.76,T2
1.29,75.2,40.78,T1
1.76,4.17,40.14,T3
6.15,98.87,45.72,T3
3.0,51.07,6.34,T1
4.56,97.61,17.59,T3
3.61,3.0,21.73,T2
0.26,26.58,19.6,T2
1.0,43.92,43.26,T3
2.51,23.57,43.26,T2
4.35,2.81,8.48,T2
7.93,31.32,6.18,T2
4.45,43.34,35.97,T3
3.01,6.62,43.63,T3
4.22,83.26,23.15,T3
6.01,38.16,18.05,T2
2.81,35.64,46.06,T1
2.91,98.18,43.22,T2
8.91,9.3,24.83,T3
6.1,10.68,16.19,T2
8.5,69.07,36.16,T3
0.76,73.83,13.87,T1
3.53,35.28,25.53,T1
3.38,42.91,23.24,T1
1.24,50.84,37.8,T1
4.51,27.49,28.09,T3
3.35,58.18,0.81,T1
6.98,77.49,34.95,T3
8.76,69.69,9.52,T3
7.54,75.01,41.25,T2
1.84,2.03,33.03,T1
5.47,11.83,15.17,T3
4.44,99.61,36.02,T3
4.86,65.8,23.04,T1
5.7,2.37,17.29,T3
4.94,71.0,32.51,T2
6.6,12.6,22.63,T3
4.61,61.97,49.57,T3
